Designator,Mid X,Mid Y,Rotation,Layer
C1,73.233523,-55.2196,0.0,top
C10,87.4,-66.8,180.0,bottom
C11,90.8,-67.6,180.0,bottom
C12,90.35,-67.6,0.0,top
C13,90.35,-66.05,0.0,top
C14,55.9,-68.85,180.0,top
C15,54.0,-53.0,180.0,top
C16,94.0551,-70.2818,0.0,bottom
C17,89.6609,-70.3072,0.0,bottom
C18,97.7,-52.8,180.0,bottom
C19,80.5,-57.1,180.0,top
C2,75.0,-67.6,180.0,top
C3,75.0,-64.5,0.0,top
C4,75.0,-61.4,0.0,top
C5,88.2,-70.8,270.0,top
C6,73.15,-70.5,180.0,bottom
C7,61.3,-51.1,180.0,bottom
C8,84.3,-57.1,0.0,top
C9,80.3,-56.9,0.0,bottom
D1,91.5,-59.2,90.0,top
D2,70.85,-67.95,0.0,bottom
D3,70.85,-64.85,0.0,bottom
D4,70.85,-61.75,0.0,bottom
D5,81.5,-70.0,180.0,top
D6,88.95,-51.65,270.0,top
D7,90.5,-51.65,270.0,top
D8,92.05,-51.65,270.0,top
J1,54.4,-62.7,90.0,top
J2,94.29,-73.67,270.0,top
J3,77.72,-73.67,270.0,top
J4,59.94,-73.67,270.0,top
J5,96.5,-57.8,90.0,top
J6,83.5,-52.9,0.0,top
L1,85.3,-69.7,0.0,top
Q1,64.6,-72.1,180.0,top
Q2,60.5,-57.0,0.0,top
Q3,64.7954,-49.8026,0.0,top
Q4,63.1,-65.3,90.0,top
Q5,63.1,-61.7,90.0,top
Q6,63.1,-58.1,90.0,top
R1,75.0,-69.15,180.0,top
R10,76.4,-63.1,0.0,bottom
R11,76.4,-66.2,0.0,bottom
R12,76.4,-69.3,0.0,bottom
R13,69.55,-70.5,0.0,bottom
R14,57.7,-51.1,0.0,bottom
R15,88.95,-55.15,90.0,top
R16,90.5,-55.15,90.0,top
R17,92.05,-55.15,90.0,top
R18,89.8,-59.1,270.0,top
R19,89.4,-55.2,270.0,bottom
R2,69.6,-66.4,0.0,bottom
R20,82.0,-67.8,180.0,bottom
R21,82.0,-70.1,0.0,bottom
R22,55.9,-70.4,0.0,top
R23,54.0,-51.3,180.0,top
R24,85.7,-69.9,180.0,bottom
R3,75.0,-66.05,180.0,top
R4,69.6,-63.3,0.0,bottom
R5,75.0,-62.95,180.0,top
R6,69.6,-60.2,0.0,bottom
R7,75.4,-67.75,0.0,bottom
R8,75.4,-64.65,0.0,bottom
R9,75.4,-61.55,0.0,bottom
SW1,97.8,-56.9,90.0,bottom
SW2,97.536,-65.7606,270.0,bottom
U1,83.4,-63.4,180.0,top
U2,96.2,-68.7,90.0,top
U3,91.08,-63.5,180.0,top
U4,60.3,-68.7,270.0,top
U5,58.5,-52.8,90.0,top
